abandon v.   AAA/ə'bændən /   BBB bỏ, từ bỏ
abandoned adj.   AAA/ə'bændənd /   BBB bị bỏ rơi, bị ruồng bỏ
ability n.   AAA/ə'biliti /   BBB khả năng, năng lực
able adj.   AAA/'eibl /   BBB có năng lực, có tài
unable adj.   AAA/'ʌn'eibl /   BBB không có năng lực, không có tài
about adv., prep.   AAA/ə'baut /   BBB khoảng, về
above prep., adv.   AAA/ə'bʌv /   BBB ở trên, lên trên
abroad adv.   AAA/ə'brɔ:d /   BBB ở, ra nước ngoài, ngoài trời
absence n.   AAA/'æbsəns /   BBB sự vắng mặt
absent adj.   AAA/'æbsənt /   BBB vắng mặt, nghỉ
absolute adj.   AAA/'æbsəlu:t /   BBB tuyệt đối, hoàn toàn
absolutely adv.   AAA/'æbsəlu:tli /   BBB tuyệt đối, hoàn toàn
absorb v.   AAA/əb'sɔ:b /   BBB thu hút, hấp thu, lôi cuốn
abuse n., v.   AAA/ə'bju:s /   BBB lộng hành, lạm dụng
academic adj.   AAA/,ækə'demik /   BBB thuộc học viện, Đh, viện hàn lâm
accent n.   AAA/'æksənt /   BBB trọng âm, dấu trọng âm
accept v.   AAA/ək'sept /   BBB chấp nhận, chấp thuận
acceptable adj.   AAA/ək'septəbl /   BBB có thể chấp nhận, chấp thuận
access n.   AAA/'ækses /   BBB lối, cửa, đường vào
accident n.   AAA/'æksidənt /   BBB tai nạn, rủi ro
accidental adj.   AAA/,æksi'dentl /   BBB tình cờ, bất ngờ
accidentally adv.   AAA/,æksi'dentəli /   BBB tình cờ, ngẫu nhiên
accommodation n.   AAA/ə,kɔmə'deiʃn /   BBB sự thích nghi, điều tiết
accompany v.   AAA/ə'kʌmpəni /   BBB đi theo, đi cùng, kèm theo
according to prep.   AAA/ə'kɔ:diɳ /   BBB theo, y theo
account n., v.   AAA/ə'kaunt /   BBB tài khoản, kế toán; tính toán, tính đến
accurate adj.   AAA/'ækjurit /   BBB đúng đắn, chính xác, xác đáng
accurately adv.   AAA/'ækjuritli /   BBB đúng đắn, chính xác
accuse v.   AAA/ə'kju:z /   BBB tố cáo, buộc tội, kết tội
achieve v.   AAA/ə'tʃi:v /   BBB đạt được, dành được
achievement n.   AAA/ə'tʃi:vmənt /   BBB thành tích, thành tựu
acid n.   AAA/'æsid /   BBB axit
acknowledge v.   AAA/ək'nɔlidʤ /   BBB công nhận, thừa nhận
acquire v.   AAA/ə'kwaiə /   BBB dành được, đạt được, kiếm được
across adv., prep.   AAA/ə'krɔs /   BBB qua, ngang qua
act n., v.   AAA/ækt /   BBB hành động, hành vi, cử chỉ, đối xử
action n.   AAA/'ækʃn /   BBB hành động, hành vi, tác động
active adj.   AAA/'æktiv /   BBB tích cực hoạt động, nhanh nhẹn
actor, actress n.   AAA/'æktə /   BBB /'æktris / BBB diễn viên
actual adj.   AAA/'æktjuəl /   BBB thực tế, có thật
actually adv.   AAA/'æktjuəli /   BBB hiện nay, hiện tại
adapt v.   AAA/ə'dæpt /   BBB tra, lắp vào
add v.   AAA/æd /   BBB cộng, thêm vào
addition n.   AAA/ə'diʃn /   BBB tính cộng, phép cộng
additional adj.   AAA/ə'diʃənl /   BBB thêm vào, tăng thêm
address n., v.   AAA/ə'dres /   BBB địa chỉ, đề địa chỉ
adequate adj.   AAA/'ædikwit /   BBB đầy, đầy đủ
adequately adv.   AAA/'ædikwitli /   BBB tương xứng, thỏa đáng
adjust v.   AAA/ə'dʤʌst /   BBB sửa lại cho đúng, điều chỉnh
admiration n.   AAA/,ædmə'reiʃn /   BBB sự khâm phục,người kp, thán phục
admire v.   AAA/əd'maiə /   BBB khâm phục, thán phục
admit v.   AAA/əd'mit /   BBB nhận vào, cho vào, kết hợp
adopt v.   AAA/ə'dɔpt /   BBB nhận làm con nuôi, bố mẹ nuôi
adult n., adj.   AAA/'ædʌlt /   BBB người lớn, người trưởng thành; trưởng thành
advance n., v.   AAA/əd'vɑ:ns /   BBB sự tiến bộ, tiến lên; đưa lên, đề xuất
advanced adj.   AAA/əd'vɑ:nst /   BBB tiên tiến, tiến bộ, cấp cao
advantage n.   AAA/əb'vɑ:ntidʤ /   BBB sự thuận lợi, lợi ích, lợi thế
adventure n.   AAA/əd'ventʃə /   BBB sự phiêu lưu, mạo hiểm
advertise v.   AAA/'ædvətaiz /   BBB báo cho biết, báo cho biết trước
advice n.   AAA/əd'vais /   BBB lời khuyên, lời chỉ bảo
advise v.   AAA/əd'vaiz /   BBB khuyên, khuyên bảo, răn bảo
affair n.   AAA/ə'feə /   BBB việc
affect v.   AAA/ə'fekt /   BBB làm ảnh hưởng, tác động đến
afford v.   AAA/ə'fɔ:d /   BBB có thể, có đủ khả năng, điều kiện 
afraid adj.   AAA/ə'freid /   BBB sợ, sợ hãi, hoảng sợ
after prep., conj., adv.   AAA/'ɑ:ftə /   BBB sau, đằng sau, sau khi
afternoon n.   AAA/'ɑ:ftə'nu:n /   BBB buổi chiều
afterwards adv.   AAA/'ɑ:ftəwəd /   BBB sau này, về sau, rồi thì, sau đấy
again adv.   AAA/ə'gen /   BBB lại, nữa, lần nữa
against prep.   AAA/ə'geinst /   BBB chống lại, phản đối
age n.   AAA/eidʤ /   BBB tuổi
aged adj.   AAA/'eidʤid /   BBB già đi 
agency n.   AAA/'eidʤənsi /   BBB tác dụng, lực; môi giới, trung gian
agent n.   AAA/'eidʤənt /   BBB đại lý, tác nhân
aggressive adj.   AAA/ə'gresiv /   BBB xâm lược, hung hăng 
ago adv.   AAA/ə'gou /   BBB trước đây
agree v.   AAA/ə'gri: /   BBB đồng ý, tán thành
agreement n.   AAA/ə'gri:mənt /   BBB sự đồng ý, tán thành; hiệp định, hợp đồng
